Date;Rate USD/EUR
2021-03-18;1,1912
2021-03-17;1,1907
2021-03-16;1,1926
2021-03-15;1,1920
2021-03-12;1,1933
2021-03-11;1,1969
2021-03-10;1,1892
2021-03-09;1,1894
2021-03-08;1,1866
2021-03-05;1,1938
2021-03-04;1,2034
2021-03-03;1,2048
2021-03-02;1,2028
2021-03-01;1,2053
2021-02-26;1,2121
2021-02-25;1,2225
2021-02-24;1,2146
2021-02-23;1,2143
2021-02-22;1,2133
2021-02-19;1,2139
2021-02-18;1,2084
2021-02-17;1,2060
2021-02-16;1,2143
2021-02-15;1,2129
2021-02-12;1,2108
2021-02-11;1,2147
2021-02-10;1,2127
2021-02-09;1,2104
2021-02-08;1,2025
2021-02-05;1,1983
2021-02-04;1,1996
2021-02-03;1,2017
2021-02-02;1,2044
2021-02-01;1,2084
2021-01-29;1,2136
2021-01-28;1,2091
2021-01-27;1,2114
2021-01-26;1,2143
2021-01-25;1,2152
2021-01-22;1,2158
2021-01-21;1,2158
2021-01-20;1,2101
2021-01-19;1,2132
2021-01-18;1,2064
2021-01-15;1,2123
2021-01-14;1,2124
2021-01-13;1,2166
2021-01-12;1,2161
2021-01-11;1,2163
2021-01-08;1,2250
2021-01-07;1,2276
2021-01-06;1,2338
2021-01-05;1,2271
2021-01-04;1,2296
